m_insp[Msun],mass_aEMS[Msun],M_loss[Msun],m_ins-M_loss
0.1,100.0,0.0,0.1
0.1,200.0,0.0,0.1
0.1,300.0,0.0,0.1
0.1,400.0,0.0,0.1
0.1,500.0,0.0,0.1
0.1,600.0,0.0,0.1
0.1,700.0,0.0,0.1
0.1,800.0,0.0,0.1
0.1,900.0,0.0,0.1
0.1,1000.0,0.0,0.1
0.1,2000.0,0.0,0.1
0.1,3000.0,0.0,0.1
0.1,4000.0,0.0,0.1
0.1,5000.0,0.0,0.1
0.1,6000.0,0.0,0.1
0.1,7000.0,0.0,0.1
0.1,8000.0,0.0,0.1
0.1,9000.0,0.0,0.1
0.1,10000.0,0.0,0.1
0.1,11000.0,0.0,0.1
0.1,12000.0,0.0,0.1
0.1,13000.0,0.0,0.1
0.1,14000.0,0.0,0.1
0.1,15000.0,0.0,0.1
0.1,16000.0,0.0,0.1
0.1,17000.0,0.0,0.1
0.1,18000.0,0.0,0.1
0.1,19000.0,0.0,0.1
0.1,20000.0,0.0,0.1
0.3,100.0,0.0,0.3
0.3,200.0,0.0,0.3
0.3,300.0,0.0,0.3
0.3,400.0,0.0,0.3
0.3,500.0,0.0,0.3
0.3,600.0,0.0,0.3
0.3,700.0,0.0,0.3
0.3,800.0,0.0,0.3
0.3,900.0,0.0,0.3
0.3,1000.0,0.0,0.3
0.3,2000.0,0.0,0.3
0.3,3000.0,0.0,0.3
0.3,4000.0,0.0,0.3
0.3,5000.0,0.0,0.3
0.3,6000.0,0.0,0.3
0.3,7000.0,0.0,0.3
0.3,8000.0,0.0,0.3
0.3,9000.0,0.0,0.3
0.3,10000.0,0.0,0.3
0.3,11000.0,0.0,0.3
0.3,12000.0,0.0,0.3
0.3,13000.0,0.0,0.3
0.3,14000.0,0.0,0.3
0.3,15000.0,0.0,0.3
0.3,16000.0,0.0,0.3
0.3,17000.0,0.0,0.3
0.3,18000.0,0.0,0.3
0.3,19000.0,0.0,0.3
0.3,20000.0,0.0,0.3
0.5,100.0,0.0,0.5
0.5,200.0,0.0,0.5
0.5,300.0,0.0,0.5
0.5,400.0,0.0,0.5
0.5,500.0,0.0,0.5
0.5,600.0,0.0,0.5
0.5,700.0,0.0,0.5
0.5,800.0,0.0,0.5
0.5,900.0,0.0,0.5
0.5,1000.0,0.0,0.5
0.5,2000.0,0.0,0.5
0.5,3000.0,0.0,0.5
0.5,4000.0,0.0,0.5
0.5,5000.0,0.0,0.5
0.5,6000.0,0.0,0.5
0.5,7000.0,0.0,0.5
0.5,8000.0,0.0,0.5
0.5,9000.0,0.0,0.5
0.5,10000.0,0.0,0.5
0.5,11000.0,0.0,0.5
0.5,12000.0,0.0,0.5
0.5,13000.0,0.0,0.5
0.5,14000.0,0.0,0.5
0.5,15000.0,0.0,0.5
0.5,16000.0,0.0,0.5
0.5,17000.0,0.0,0.5
0.5,18000.0,0.0,0.5
0.5,19000.0,0.0,0.5
0.5,20000.0,0.0,0.5
0.6,100.0,0.0,0.6
0.6,200.0,0.0,0.6
0.6,300.0,0.0,0.6
0.6,400.0,0.0,0.6
0.6,500.0,0.0,0.6
0.6,600.0,0.0,0.6
0.6,700.0,0.0,0.6
0.6,800.0,0.0,0.6
0.6,900.0,0.0,0.6
0.6,1000.0,0.0,0.6
0.6,2000.0,0.0,0.6
0.6,3000.0,0.0,0.6
0.6,4000.0,0.0,0.6
0.6,5000.0,0.0,0.6
0.6,6000.0,0.0,0.6
0.6,7000.0,0.0,0.6
0.6,8000.0,0.0,0.6
0.6,9000.0,0.0,0.6
0.6,10000.0,0.0,0.6
0.6,11000.0,0.0,0.6
0.6,12000.0,0.0,0.6
0.6,13000.0,0.0,0.6
0.6,14000.0,0.0,0.6
0.6,15000.0,0.0,0.6
0.6,16000.0,0.0,0.6
0.6,17000.0,0.0,0.6
